2025-05-19 15:30:48,791 - ERROR - 重启服务失败: Command '['sudo', 'systemctl', 'restart', 'nginx']' returned non-zero exit status 1.
2025-05-19 15:31:19,939 - INFO - 系统 CPU: 0.5%, 内存: 33.7%, 连接: 115 (已建立: 41, CLOSE_WAIT: 0, TIME_WAIT: 13), API 运行: True, 连接: 1, Nginx 运行: False, 连接: 0
2025-05-19 15:31:19,939 - WARNING - 触发重启，原因: Nginx进程未运行
2025-05-19 15:31:19,939 - WARNING - 正在重启服务...
2025-05-19 15:31:19,940 - INFO - 优雅重启Nginx服务...
2025-05-19 15:31:19,953 - ERROR - Nginx优雅重启失败，尝试完全重启: Command '['sudo', 'nginx', '-s', 'reload']' returned non-zero exit status 1.
2025-05-19 15:31:19,982 - ERROR - 重启服务失败: Command '['sudo', 'systemctl', 'restart', 'nginx']' returned non-zero exit status 1.
2025-05-19 15:31:51,128 - INFO - 系统 CPU: 0.0%, 内存: 33.8%, 连接: 116 (已建立: 41, CLOSE_WAIT: 0, TIME_WAIT: 14), API 运行: True, 连接: 1, Nginx 运行: False, 连接: 0
2025-05-19 15:31:51,128 - WARNING - 触发重启，原因: Nginx进程未运行
2025-05-19 15:31:51,128 - WARNING - 正在重启服务...
2025-05-19 15:31:51,128 - INFO - 优雅重启Nginx服务...
2025-05-19 15:31:51,141 - ERROR - Nginx优雅重启失败，尝试完全重启: Command '['sudo', 'nginx', '-s', 'reload']' returned non-zero exit status 1.
2025-05-19 15:31:51,179 - ERROR - 重启服务失败: Command '['sudo', 'systemctl', 'restart', 'nginx']' returned non-zero exit status 1.
2025-05-19 15:32:22,328 - INFO - 系统 CPU: 0.2%, 内存: 34.1%, 连接: 108 (已建立: 39, CLOSE_WAIT: 0, TIME_WAIT: 8), API 运行: True, 连接: 1, Nginx 运行: False, 连接: 0
2025-05-19 15:32:22,328 - WARNING - 触发重启，原因: Nginx进程未运行
2025-05-19 15:32:22,328 - WARNING - 正在重启服务...
2025-05-19 15:32:22,329 - INFO - 优雅重启Nginx服务...
2025-05-19 15:32:22,348 - ERROR - Nginx优雅重启失败，尝试完全重启: Command '['sudo', 'nginx', '-s', 'reload']' returned non-zero exit status 1.
2025-05-19 15:32:22,394 - INFO - 重启API服务...
2025-05-19 15:32:22,627 - INFO - 服务重启完成
2025-05-19 15:33:23,881 - INFO - 系统 CPU: 0.8%, 内存: 34.2%, 连接: 146 (已建立: 71, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 11, Nginx 运行: True, 连接: 2
2025-05-19 15:33:55,189 - INFO - 系统 CPU: 0.7%, 内存: 34.4%, 连接: 152 (已建立: 75, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 11, Nginx 运行: True, 连接: 2
2025-05-19 15:34:26,450 - INFO - 系统 CPU: 0.3%, 内存: 34.5%, 连接: 154 (已建立: 78, CLOSE_WAIT: 0, TIME_WAIT: 10), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:34:57,713 - INFO - 系统 CPU: 0.3%, 内存: 34.7%, 连接: 157 (已建立: 79, CLOSE_WAIT: 0, TIME_WAIT: 12), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:35:28,974 - INFO - 系统 CPU: 0.5%, 内存: 34.1%, 连接: 150 (已建立: 72, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:36:00,236 - INFO - 系统 CPU: 0.8%, 内存: 34.2%, 连接: 147 (已建立: 73, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:36:31,500 - INFO - 系统 CPU: 0.3%, 内存: 34.2%, 连接: 147 (已建立: 71, CLOSE_WAIT: 0, TIME_WAIT: 13), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:37:02,765 - INFO - 系统 CPU: 0.2%, 内存: 34.3%, 连接: 147 (已建立: 71, CLOSE_WAIT: 0, TIME_WAIT: 13), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:37:34,026 - INFO - 系统 CPU: 0.5%, 内存: 34.6%, 连接: 145 (已建立: 71, CLOSE_WAIT: 0, TIME_WAIT: 11), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
2025-05-19 15:38:05,287 - INFO - 系统 CPU: 0.2%, 内存: 34.4%, 连接: 143 (已建立: 71, CLOSE_WAIT: 0, TIME_WAIT: 9), API 运行: True, 连接: 10, Nginx 运行: True, 连接: 2
